1,4,4,4,4
2,7,7,7,7
3,5,5,5,5
4,7,7,7,7
4,8,8,8,8
5,3,3,3,3
5,5,5,5,5
6,5,5,5,5
6,6,6,6,6
6,6,6,6,6
7,6,6,6,6
8,6,6,6,6
9,6,6,6,6
10,6,6,6,6
22,6,6,6,6
33,6,6,6,6
1,4,4,4,4
2,7,7,7,7
3,5,5,5,5
4,7,7,7,7
4,8,8,8,8
5,3,3,3,3
5,5,5,5,5
6,5,5,5,5
6,6,6,6,6
6,6,6,6,6
7,6,6,6,6
8,6,6,6,6
9,6,6,6,6
10,6,6,6,6
22,6,6,6,6
33,6,6,6,6
1,4,4,4,4
2,7,7,7,7
3,5,5,5,5
4,7,7,7,7
4,8,8,8,8
5,3,3,3,3
5,5,5,5,5
6,5,5,5,5
6,6,6,6,6
6,6,6,6,6
7,6,6,6,6
8,6,6,6,6
9,6,6,6,6
10,6,6,6,6
22,6,6,6,6
33,6,6,6,6
1,4,4,4,4
2,7,7,7,7
3,5,5,5,5
4,7,7,7,7
4,8,8,8,8
5,3,3,3,3
5,5,5,5,5
6,5,5,5,5
6,6,6,6,6
6,6,6,6,6
7,6,6,6,6
8,6,6,6,6
9,6,6,6,6
10,6,6,6,6
22,6,6,6,6
33,6,6,6,6
