time,1,2,3,4,5
1351728000,0,0,0,0,1
1354320000,0,0,0,1,0
1359676800,1,1,0,0,0
1362096000,2,0,0,0,2
1364774400,0,0,0,1,0
1367366400,0,0,0,1,0
1375315200,0,0,0,0,1
1377993600,1,0,0,1,1
1380585600,0,1,0,0,0
1383264000,1,1,0,0,0
1385856000,2,0,0,0,1
1388534400,2,0,0,0,0
1391212800,2,0,0,0,1
1396310400,1,0,0,0,0
1398902400,1,0,0,0,0
1404172800,1,0,0,1,1
1406851200,0,0,0,0,2
1409529600,0,0,0,1,0
1412121600,2,0,0,0,0
1414800000,1,0,0,0,1
1417392000,1,0,0,0,4
1420070400,1,0,0,0,4
1422748800,3,0,0,2,3
1425168000,6,0,0,1,3
1427846400,0,0,0,1,0
1430438400,3,0,0,0,0
1433116800,2,0,0,1,3
1435708800,1,0,0,0,2
1438387200,4,0,0,0,3
1441065600,2,0,0,0,0
1443657600,5,0,0,1,3
1446336000,6,0,0,2,3
1448928000,3,0,0,0,1
1451606400,3,0,0,0,4
1454284800,5,0,0,4,4
1456790400,2,0,0,2,3
1459468800,0,0,0,1,1
1462060800,0,0,0,1,3
1464739200,0,0,0,1,7
1467331200,0,1,2,4,2
1470009600,2,0,0,2,1
1472688000,0,0,1,1,2
1475280000,3,0,0,1,2
1477958400,0,0,0,1,2
1480550400,1,0,0,1,0
1483228800,0,0,0,0,1
1496275200,1,0,0,0,0
1506816000,1,0,0,0,0
1514764800,0,0,0,0,1
1522540800,1,0,0,0,2
1525132800,1,0,0,0,0
1527811200,1,0,0,0,0
1530403200,0,0,0,1,0
1533081600,1,0,0,0,0
1535760000,2,0,0,0,0
1541030400,1,0,0,0,0
1543622400,0,0,0,0,1
1548979200,1,0,0,0,0
1551398400,2,1,0,0,0
