time,1,2,3,4,5
925516800,0,0,1,0,0
938736000,0,0,0,1,0
954547200,1,0,0,0,0
959817600,0,0,0,1,0
970358400,0,0,0,1,0
978307200,0,0,0,1,0
1004572800,0,0,1,0,0
1007164800,1,0,0,0,0
1025481600,0,1,0,0,0
1030838400,1,0,0,0,0
1038700800,1,0,0,0,0
1046476800,1,0,0,0,0
1051747200,1,1,0,0,0
1064966400,0,0,0,0,1
1070236800,1,0,0,0,0
1096588800,2,0,0,1,1
1099267200,1,0,0,0,0
1109635200,1,0,0,0,0
1114905600,1,1,0,0,0
1120176000,2,0,0,1,0
1122854400,0,0,0,0,2
1125532800,1,1,0,0,0
1130803200,0,1,0,0,0
1133395200,0,0,1,2,0
1136073600,0,0,0,0,2
1141171200,0,0,0,1,1
1149120000,0,0,0,0,1
1154390400,1,0,0,0,0
1157068800,0,0,0,1,0
1159660800,0,0,0,0,1
1162339200,0,0,1,0,0
1167609600,0,1,0,0,0
1177977600,0,1,0,0,0
1183248000,0,0,0,2,0
1188604800,1,0,0,0,0
1199145600,1,1,0,0,1
1207008000,0,0,1,0,0
1209600000,0,0,0,0,1
1212278400,1,0,0,0,0
1214870400,2,0,0,2,0
1225497600,0,0,0,0,1
1233446400,0,0,0,0,1
1235865600,1,0,0,0,0
1241136000,1,0,0,1,0
1243814400,0,0,3,0,1
1246406400,0,1,0,0,0
1249084800,0,1,0,0,0
1251763200,0,0,0,0,1
1257033600,1,0,0,0,0
1259625600,0,0,0,1,0
1264982400,0,0,1,0,0
1267401600,0,1,0,0,0
1275350400,1,0,0,0,0
1280620800,1,1,0,0,0
1283299200,0,1,1,0,0
1293840000,0,1,2,0,0
1301616000,0,0,1,0,0
1304208000,0,1,0,1,0
1306886400,2,0,1,0,1
1309478400,0,0,0,1,0
1312156800,0,0,1,1,0
1314835200,2,0,1,0,0
1317427200,1,0,0,0,0
1320105600,0,0,1,0,0
1325376000,1,1,0,0,0
1328054400,1,0,1,0,1
1330560000,0,1,0,0,0
1338508800,1,1,0,0,4
1341100800,0,1,0,0,1
1343779200,0,0,0,1,0
1349049600,1,1,0,1,0
1351728000,0,0,0,1,1
1356998400,1,1,0,1,0
1362096000,0,1,0,0,0
1364774400,1,1,0,0,0
1370044800,1,0,0,0,0
1375315200,1,0,0,0,0
1377993600,0,0,0,1,0
1383264000,0,1,0,0,0
1385856000,0,1,0,0,0
1391212800,1,0,0,0,2
1393632000,0,0,1,0,0
1396310400,0,1,0,0,0
1401580800,3,0,0,1,1
1406851200,1,0,0,0,2
1409529600,1,0,0,0,0
1412121600,0,1,0,0,0
1420070400,0,0,0,0,1
1422748800,1,0,0,0,0
1425168000,2,0,0,0,0
1427846400,0,0,0,1,0
1430438400,0,1,0,0,0
1438387200,0,0,0,1,0
1441065600,0,1,1,0,0
1443657600,1,0,0,0,0
1446336000,0,0,1,0,0
1448928000,0,0,1,0,1
1451606400,1,0,0,0,0
1454284800,0,1,0,0,0
1456790400,0,0,1,0,1
1459468800,0,0,2,0,0
1462060800,0,1,1,0,0
1464739200,0,0,1,0,0
1467331200,0,0,1,0,0
1470009600,0,0,0,0,1
1475280000,0,0,1,0,0
1480550400,0,2,1,0,0
1491004800,1,0,0,0,0
1493596800,0,2,0,0,0
1496275200,0,1,0,0,0
1498867200,0,0,1,0,0
1501545600,1,0,1,0,0
1509494400,0,0,0,0,1
1517443200,0,0,0,0,1
1519862400,0,1,0,0,0
1522540800,0,0,1,0,0
1525132800,0,0,0,0,1
1530403200,0,0,1,0,0
1533081600,1,1,1,0,0
1538352000,0,0,1,0,1
1541030400,0,0,1,0,1
1546300800,2,1,0,0,0
1556668800,0,1,0,0,0
1561939200,0,0,1,0,0
1567296000,0,0,2,0,0
1572566400,0,1,0,0,0
