time,1,2,3,4,5
1072915200,0,2,0,0,0
1075593600,1,0,0,0,0
1078099200,2,0,0,0,0
1080777600,0,0,1,0,0
1086048000,0,2,0,0,0
1088640000,0,0,1,0,0
1091318400,2,5,0,0,0
1093996800,1,1,0,0,1
1096588800,2,1,1,0,0
1099267200,1,0,0,0,0
1101859200,0,0,1,0,0
1104537600,1,1,0,0,0
1109635200,0,1,0,0,0
1112313600,1,1,0,0,0
1114905600,0,0,1,0,0
1117584000,2,0,0,0,0
1120176000,0,1,0,0,0
1122854400,1,2,0,0,0
1125532800,3,1,0,0,0
1128124800,1,0,0,0,0
1130803200,1,1,1,0,0
1138752000,1,1,0,0,0
1141171200,0,1,0,0,0
1143849600,0,1,0,0,0
1149120000,1,1,0,1,0
1151712000,0,2,0,0,0
1154390400,0,0,1,0,0
1157068800,0,1,0,0,0
1159660800,0,1,0,0,0
1162339200,0,2,0,0,0
1164931200,0,1,0,0,0
1167609600,0,2,0,0,0
1172707200,0,2,0,0,0
1180656000,2,1,0,0,0
1183248000,0,1,0,0,0
1185926400,0,1,0,0,0
1191196800,0,1,0,0,0
1199145600,0,1,0,0,0
1201824000,0,3,0,0,0
1204329600,0,1,0,0,0
1209600000,0,1,0,0,0
1212278400,1,0,0,0,0
1217548800,0,1,0,0,0
1225497600,0,2,0,0,0
1228089600,0,1,0,0,0
1230768000,0,0,0,1,0
1233446400,1,2,0,0,0
1235865600,0,1,0,0,0
1238544000,0,1,0,0,0
1243814400,1,1,0,0,0
1246406400,0,1,0,0,1
1251763200,1,0,0,0,0
1254355200,0,1,0,0,0
1264982400,0,1,0,0,1
1277942400,0,1,0,0,1
1280620800,1,0,0,0,0
1283299200,0,1,0,0,0
1288569600,0,0,0,0,1
1293840000,1,0,0,0,0
1296518400,0,3,0,0,0
1298937600,0,0,0,1,0
1306886400,0,1,0,0,0
1314835200,1,0,0,0,1
1338508800,0,1,0,0,1
1341100800,1,1,0,0,1
1343779200,0,2,0,0,1
1351728000,0,1,0,0,0
1356998400,1,0,0,1,0
1362096000,0,0,0,0,1
1364774400,0,1,0,0,0
1367366400,0,0,0,0,1
1380585600,0,1,0,0,0
1383264000,0,1,0,0,1
1385856000,1,0,0,0,0
1388534400,2,0,0,0,0
1391212800,2,2,0,0,0
1393632000,1,1,0,0,2
1398902400,0,1,0,0,0
1404172800,0,1,0,0,0
1406851200,0,1,0,0,0
1422748800,0,2,0,0,0
1425168000,0,0,0,0,1
1427846400,0,3,0,0,1
1430438400,1,3,0,0,0
1433116800,0,1,0,0,0
1435708800,0,1,0,0,0
1441065600,0,2,0,0,0
1443657600,1,1,0,0,2
1448928000,1,0,0,0,0
1451606400,0,0,0,0,1
1454284800,0,0,0,0,1
1456790400,0,2,0,0,0
1459468800,0,0,0,0,1
1462060800,0,1,0,0,0
1467331200,0,1,0,0,0
1475280000,0,1,0,0,1
1477958400,0,0,0,0,1
1483228800,1,1,1,0,1
1485907200,0,0,0,0,1
1488326400,1,0,0,0,1
1493596800,0,1,0,0,0
1498867200,0,1,0,0,0
1501545600,1,1,0,0,0
1504224000,0,0,0,0,1
1506816000,0,0,0,0,1
1509494400,0,2,0,0,1
1512086400,0,2,0,0,0
1514764800,0,1,0,0,0
1522540800,0,1,0,0,0
1525132800,1,1,0,0,0
1527811200,1,0,0,0,0
1530403200,0,1,0,0,0
1535760000,1,0,0,0,0
1538352000,0,2,0,0,0
1543622400,0,0,0,0,1
1546300800,0,1,0,0,0
1548979200,0,1,0,0,0
1556668800,0,1,0,0,0
