time,1,2,3,4,5
1225497600,0,0,0,1,0
1251763200,1,3,1,1,2
1259625600,1,0,1,0,0
1262304000,0,2,0,0,0
1264982400,1,0,0,0,0
1267401600,0,0,0,1,0
1270080000,1,1,0,0,0
1272672000,1,1,0,0,0
1275350400,1,2,1,1,0
1277942400,0,1,0,0,0
1280620800,0,4,0,2,0
1283299200,1,1,1,0,0
1293840000,0,1,1,1,0
1296518400,1,4,1,0,0
1298937600,2,1,0,1,2
1304208000,2,0,0,0,0
1306886400,2,1,0,1,1
1309478400,2,4,1,0,1
1312156800,3,3,1,0,0
1314835200,0,0,0,1,0
1317427200,1,2,0,1,0
1320105600,0,7,0,0,0
1322697600,4,2,1,0,1
1325376000,6,8,1,1,5
1328054400,3,1,0,1,1
1330560000,2,1,2,0,1
1333238400,5,6,1,6,1
1335830400,1,2,0,1,1
1338508800,3,1,1,0,1
1341100800,0,2,0,0,2
1343779200,1,0,0,0,0
1346457600,0,1,0,0,2
1349049600,5,1,1,0,1
1351728000,0,2,0,1,0
1354320000,1,1,0,1,0
1359676800,2,1,0,1,1
1362096000,2,0,0,0,0
1364774400,3,0,0,2,1
1367366400,2,1,0,0,1
1370044800,3,0,0,2,0
1372636800,1,1,0,0,1
1377993600,0,1,0,0,0
1380585600,2,0,0,0,0
1383264000,1,2,0,0,0
1391212800,2,1,0,0,0
1393632000,2,2,0,0,0
1396310400,0,0,0,0,1
1398902400,2,0,1,0,0
1401580800,0,1,0,1,1
1404172800,3,0,1,0,0
1412121600,2,0,0,0,0
1414800000,4,5,1,0,0
1417392000,6,0,1,1,1
1420070400,0,1,0,0,0
1422748800,1,1,0,0,0
1427846400,0,0,0,0,1
1430438400,1,2,0,0,0
1433116800,2,1,0,0,0
1435708800,3,1,0,1,0
1438387200,2,0,0,2,1
1441065600,2,1,0,0,0
1443657600,1,0,0,0,0
1446336000,2,0,0,0,0
1448928000,0,1,0,1,0
1451606400,5,2,2,2,0
1454284800,5,1,0,0,1
1456790400,2,1,0,0,0
1459468800,1,3,0,0,0
1464739200,1,0,0,0,0
1467331200,0,0,0,0,1
1470009600,1,1,0,0,1
1472688000,1,1,0,0,0
1475280000,3,2,0,0,2
1477958400,1,3,0,0,1
1488326400,0,0,0,0,1
1491004800,1,0,0,0,1
1493596800,6,2,0,0,0
1496275200,3,1,0,0,0
1498867200,1,1,0,0,0
1501545600,1,1,1,0,0
1504224000,0,2,0,0,0
1509494400,1,0,0,0,0
1514764800,0,1,0,0,1
1522540800,4,1,0,0,1
1525132800,3,0,0,0,1
1527811200,4,0,1,0,0
1530403200,1,0,0,0,0
1533081600,6,3,0,0,0
1535760000,2,2,0,0,0
1538352000,1,2,0,0,0
1541030400,0,2,0,0,0
1543622400,0,2,0,1,1
1546300800,2,0,0,0,1
1548979200,0,2,0,0,0
1551398400,1,1,0,0,0
1554076800,0,1,0,0,0
1556668800,1,1,0,0,3
1559347200,3,1,0,0,0
1569888000,1,0,0,0,0
1572566400,0,0,0,0,1
